workload,mode,concurrency,requests_per_sec,latency_ms,transfer_kbps,page_faults,minor_faults,major_faults,dtlb_misses,context_switches,cpu_migrations
largefile,4k,50,6.68,7490.37,683549.68,1515.33,1509.0,6.33,0.0,223209.0,89.67
largefile,4k,200,6.13,32639.81,627501.89,3508.33,3501.0,7.33,0.0,901984.33,100.67
largefile,4k,400,5.79,69090.97,592974.21,6412.33,6377.33,30.67,0.0,2730442.33,202.33
largefile,thp,50,6.79,7369.45,694765.33,697.8,694.8,3.0,0.0,134234.2,51.0
largefile,thp,200,6.17,32420.34,631734.35,153808.67,153565.33,209.0,0.0,939409.33,507.67
largefile,thp,400,5.9,67772.79,604396.03,7827.33,7791.67,35.33,0.0,2336352.0,107.33
smallfile,4k,50,4366.01,11.45,18568.34,1779.67,1775.67,4.0,0.0,68325.0,39.67
smallfile,4k,200,4383.59,45.68,18643.09,3431.33,3427.33,4.0,0.0,127510.33,33.67
smallfile,4k,400,4286.65,93.48,18230.81,6447.67,6443.67,4.0,0.0,265545.33,77.0
smallfile,thp,50,4603.93,10.86,19580.17,1775.75,1771.25,4.5,0.0,66916.75,33.75
smallfile,thp,200,4543.34,44.02,19322.52,2154.0,2149.5,4.5,0.0,126839.25,35.25
smallfile,thp,400,4499.67,88.9,19136.79,2677.0,2672.5,4.5,0.0,267216.25,62.5
