file_type,mode,concurrency,requests_per_sec,time_per_request_ms,p95_latency_ms,page_faults,minor_faults,major_faults,dtlb_misses,context_switches
largefile,thp,50,6.8,7358.11,7441,1584,1577,7,0,223814
largefile,thp,200,6.16,32452.537,33438,213294,212890,324,0,919758
largefile,thp,200,6.12,32678.288,33281,3746,3738,7,0,974978
largefile,thp,200,6.22,32130.18,33130,244386,244068,296,0,923492
smallfile,thp,400,4497.78,88.933,96,2841,2837,4,0,270312
smallfile,thp,200,4569.82,43.765,47,2424,2420,4,0,130075
largefile,4k,400,5.88,68054.023,69848,7542,7455,74,0,2611658
largefile,4k,200,6.18,32351.142,32661,3743,3736,7,0,870686
smallfile,4k,400,4381.64,91.29,98,6446,6442,4,0,266056
smallfile,thp,50,4624.61,10.812,12,1770,1766,4,0,68068
smallfile,4k,200,4504.82,44.397,48,3447,3443,4,0,124338
smallfile,thp,50,4523.6,11.053,12,1773,1767,6,0,62791
largefile,4k,200,6.06,33016.459,34014,3385,3378,7,0,928579
smallfile,thp,400,4514.82,88.597,95,2863,2859,4,0,268174
largefile,thp,50,6.8,7357.785,7447,963,959,4,0,219212
smallfile,thp,50,4605.84,10.856,12,1790,1786,4,0,69221
largefile,4k,50,6.66,7507.075,7639,1625,1618,7,0,220306
smallfile,4k,50,4364.35,11.456,13,1794,1790,4,0,68349
largefile,thp,400,5.94,67297.419,68717,12461,12372,88,0,2011925
smallfile,4k,200,4161.92,48.055,52,3427,3423,4,0,132030
smallfile,thp,400,4535.27,88.198,95,2353,2349,4,0,265399
smallfile,thp,400,4450.82,89.871,97,2651,2645,6,0,264980
smallfile,4k,400,4036.36,99.099,99,6449,6445,4,0,265975
smallfile,4k,200,4484.03,44.603,48,3420,3416,4,0,126163
largefile,4k,50,6.7,7465.198,7600,1971,1963,8,0,224553
largefile,thp,400,5.91,67721.396,71737,4731,4722,9,0,2385518
largefile,thp,50,0,0,0,0,0,0,0,0
smallfile,4k,400,4441.94,90.051,97,6448,6444,4,0,264605
largefile,thp,50,6.76,7392.453,7940,942,938,4,0,228145
largefile,4k,400,5.67,70497.132,72160,6574,6566,8,0,3557249
smallfile,4k,50,4344.65,11.508,14,1769,1765,4,0,68778
smallfile,thp,200,4495.13,44.493,48,1896,1890,6,0,122418
smallfile,thp,200,4541.33,44.04,48,1897,1893,4,0,127650
smallfile,4k,50,4389.04,11.392,13,1776,1772,4,0,67848
largefile,thp,400,5.86,68299.566,69306,6290,6281,9,0,2611613
largefile,4k,400,5.82,68721.745,69086,5121,5111,10,0,2022420
largefile,thp,50,0,0,0,0,0,0,0,0
smallfile,thp,50,4661.66,10.726,12,1770,1766,4,0,67587
smallfile,thp,200,4567.1,43.792,47,2399,2395,4,0,127214
largefile,4k,200,6.14,32551.814,33131,3397,3389,8,0,906688
largefile,4k,50,6.67,7498.85,7661,950,946,4,0,224768
